Process1 sends message m14 to process4 at 19:42:50, vc: [1, 0, 0, 0]
Process2 sends message m23 to process3 at 19:42:50, vc: [0, 1, 0, 0]
Process3 executes internal event e1 at 19:42:50, vc: [0, 0, 1, 0]
Process4 sends message m43 to process3 at 19:42:50, vc: [0, 0, 0, 1]
Process4 receives m14 from process1 at 19:42:50, vc: [1, 0, 0, 2]
Process3 receives m43 from process4 at 19:42:50, vc: [0, 0, 2, 1]
Process3 receives m23 from process2 at 19:42:50, vc: [0, 1, 3, 1]
Process1 sends message m12 to process2 at 19:42:51, vc: [2, 0, 0, 0]
Process2 sends message m21 to process1 at 19:42:51, vc: [0, 2, 0, 0]
Process3 sends message m34 to process4 at 19:42:51, vc: [0, 1, 4, 1]
Process4 executes internal event e3 at 19:42:51, vc: [1, 0, 0, 3]
Process4 receives m34 from process3 at 19:42:51, vc: [1, 1, 4, 4]
Process2 receives m12 from process1 at 19:42:51, vc: [2, 3, 0, 0]
Process1 receives m21 from process2 at 19:42:51, vc: [3, 2, 0, 0]
Process1 executes internal event e4 at 19:42:52, vc: [4, 2, 0, 0]
Process2 executes internal event e4 at 19:42:52, vc: [2, 4, 0, 0]
Process3 sends message m32 to process2 at 19:42:52, vc: [0, 1, 5, 1]
Process4 sends message m43 to process3 at 19:42:52, vc: [1, 1, 4, 5]
Process3 receives m43 from process4 at 19:42:52, vc: [1, 1, 6, 5]
Process2 receives m32 from process3 at 19:42:52, vc: [2, 5, 5, 0]
Process1 executes internal event e5 at 19:42:53, vc: [5, 2, 0, 0]
Process2 executes internal event e6 at 19:42:53, vc: [2, 6, 5, 0]
Process3 executes internal event e7 at 19:42:53, vc: [1, 1, 7, 5]
Process4 sends message m41 to process1 at 19:42:53, vc: [1, 1, 4, 6]
Process1 receives m41 from process4 at 19:42:53, vc: [6, 2, 0, 6]
Process1 executes internal event e7 at 19:42:54, vc: [7, 2, 0, 6]
Process2 executes internal event e7 at 19:42:54, vc: [2, 7, 5, 0]
Process3 executes internal event e8 at 19:42:54, vc: [1, 1, 8, 5]
Process4 executes internal event e7 at 19:42:54, vc: [1, 1, 4, 7]
Process1 sends message m12 to process2 at 19:42:54, vc: [8, 2, 0, 6]
Process2 sends message m23 to process3 at 19:42:54, vc: [2, 8, 5, 0]
Process3 sends message m34 to process4 at 19:42:54, vc: [1, 1, 9, 5]
Process4 sends message m41 to process1 at 19:42:54, vc: [1, 1, 4, 8]
Process3 receives m23 from process2 at 19:42:54, vc: [2, 8, 10, 5]
Process1 receives m41 from process4 at 19:42:54, vc: [9, 2, 0, 8]
Process4 receives m34 from process3 at 19:42:54, vc: [1, 1, 9, 9]
Process2 receives m12 from process1 at 19:42:54, vc: [8, 9, 5, 6]
Process1 executes internal event e10 at 19:42:55, vc: [10, 2, 0, 8]
Process2 executes internal event e10 at 19:42:55, vc: [8, 10, 5, 6]
Process3 sends message m32 to process2 at 19:42:55, vc: [2, 8, 11, 5]
Process4 executes internal event e10 at 19:42:55, vc: [1, 1, 9, 10]
Process2 receives m32 from process3 at 19:42:55, vc: [8, 11, 11, 6]
Process1 sends message m14 to process4 at 19:42:56, vc: [11, 2, 0, 8]
Process2 executes internal event e12 at 19:42:56, vc: [8, 12, 11, 6]
Process3 executes internal event e12 at 19:42:56, vc: [2, 8, 12, 5]
Process4 executes internal event e11 at 19:42:56, vc: [1, 1, 9, 11]
Process4 receives m14 from process1 at 19:42:56, vc: [11, 1, 9, 12]
Process1 executes internal event e12 at 19:42:57, vc: [12, 2, 0, 8]
Process3 sends message m32 to process2 at 19:42:57, vc: [2, 8, 13, 5]
Process2 sends message m23 to process3 at 19:42:57, vc: [8, 13, 11, 6]
Process4 executes internal event e13 at 19:42:57, vc: [11, 1, 9, 13]
Process3 receives m23 from process2 at 19:42:57, vc: [8, 13, 14, 6]
Process2 receives m32 from process3 at 19:42:57, vc: [8, 14, 13, 6]
Process1 executes internal event e13 at 19:42:58, vc: [13, 2, 0, 8]
Process3 sends message m32 to process2 at 19:42:58, vc: [8, 13, 15, 6]
Process2 executes internal event e15 at 19:42:58, vc: [8, 15, 13, 6]
Process4 executes internal event e14 at 19:42:58, vc: [11, 1, 9, 14]
Process2 receives m32 from process3 at 19:42:58, vc: [8, 16, 15, 6]
Process1 executes internal event e14 at 19:42:58, vc: [14, 2, 0, 8]
Process3 executes internal event e16 at 19:42:58, vc: [8, 13, 16, 6]
Process2 executes internal event e17 at 19:42:58, vc: [8, 17, 15, 6]
Process4 sends message m43 to process3 at 19:42:58, vc: [11, 1, 9, 15]
Process3 receives m43 from process4 at 19:42:58, vc: [11, 13, 17, 15]
Process1 sends message m12 to process2 at 19:42:59, vc: [15, 2, 0, 8]
Process3 executes internal event e18 at 19:42:59, vc: [11, 13, 18, 15]
Process2 executes internal event e18 at 19:42:59, vc: [8, 18, 15, 6]
Process4 sends message m41 to process1 at 19:42:59, vc: [11, 1, 9, 16]
Process1 receives m41 from process4 at 19:42:59, vc: [16, 2, 0, 16]
Process2 receives m12 from process1 at 19:42:59, vc: [15, 19, 15, 6]
Process1 executes internal event e17 at 19:43:0, vc: [17, 2, 0, 16]
Process3 executes internal event e19 at 19:43:0, vc: [11, 13, 19, 15]
Process2 sends message m21 to process1 at 19:43:0, vc: [15, 20, 15, 6]
Process4 sends message m41 to process1 at 19:43:0, vc: [11, 1, 9, 17]
Process1 receives m41 from process4 at 19:43:0, vc: [18, 2, 0, 17]
Process1 receives m21 from process2 at 19:43:0, vc: [19, 20, 15, 17]
Process1 sends message m14 to process4 at 19:43:1, vc: [20, 20, 15, 17]
Process3 executes internal event e20 at 19:43:1, vc: [11, 13, 20, 15]
Process2 sends message m21 to process1 at 19:43:1, vc: [15, 21, 15, 6]
Process4 executes internal event e18 at 19:43:1, vc: [11, 1, 9, 18]
Process4 receives m14 from process1 at 19:43:1, vc: [20, 20, 15, 19]
Process1 receives m21 from process2 at 19:43:1, vc: [21, 21, 15, 17]
Process1 executes internal event e22 at 19:43:2, vc: [22, 21, 15, 17]
Process3 sends message m34 to process4 at 19:43:2, vc: [11, 13, 21, 15]
Process4 executes internal event e20 at 19:43:2, vc: [20, 20, 15, 20]
Process2 sends message m23 to process3 at 19:43:2, vc: [15, 22, 15, 6]
Process3 receives m23 from process2 at 19:43:2, vc: [11, 22, 22, 15]
Process4 receives m34 from process3 at 19:43:2, vc: [20, 20, 21, 21]
Process1 sends message m14 to process4 at 19:43:2, vc: [23, 21, 15, 17]
Process3 sends message m32 to process2 at 19:43:2, vc: [11, 22, 23, 15]
Process4 sends message m43 to process3 at 19:43:2, vc: [20, 20, 21, 22]
Process2 executes internal event e23 at 19:43:2, vc: [15, 23, 15, 6]
Process3 receives m43 from process4 at 19:43:2, vc: [20, 22, 24, 22]
Process4 receives m14 from process1 at 19:43:2, vc: [23, 21, 21, 23]
Process2 receives m32 from process3 at 19:43:2, vc: [15, 24, 23, 6]
Process1 executes internal event e24 at 19:43:3, vc: [24, 21, 15, 17]
Process3 executes internal event e25 at 19:43:3, vc: [20, 22, 25, 22]
Process4 executes internal event e24 at 19:43:3, vc: [23, 21, 21, 24]
Process2 executes internal event e25 at 19:43:3, vc: [15, 25, 23, 6]
Process1 sends message m12 to process2 at 19:43:4, vc: [25, 21, 15, 17]
Process3 executes internal event e26 at 19:43:4, vc: [20, 22, 26, 22]
Process2 executes internal event e26 at 19:43:4, vc: [15, 26, 23, 6]
Process4 executes internal event e25 at 19:43:4, vc: [23, 21, 21, 25]
Process2 receives m12 from process1 at 19:43:4, vc: [25, 27, 23, 6]
Process1 executes internal event e26 at 19:43:5, vc: [26, 21, 15, 17]
Process3 executes internal event e27 at 19:43:5, vc: [20, 22, 27, 22]
Process4 executes internal event e26 at 19:43:5, vc: [23, 21, 21, 26]
Process2 sends message m23 to process3 at 19:43:5, vc: [25, 28, 23, 6]
Process3 receives m23 from process2 at 19:43:5, vc: [25, 28, 28, 22]
Process1 sends message m12 to process2 at 19:43:6, vc: [27, 21, 15, 17]
Process4 sends message m41 to process1 at 19:43:6, vc: [23, 21, 21, 27]
Process3 sends message m34 to process4 at 19:43:6, vc: [25, 28, 29, 22]
Process2 sends message m21 to process1 at 19:43:6, vc: [25, 29, 23, 6]
