Process1 executes internal event e1 at 19:40:58, vc: [1, 0, 0, 0]
Process2 sends message m21 to process1 at 19:40:58, vc: [0, 1, 0, 0]
Process3 executes internal event e1 at 19:40:58, vc: [0, 0, 1, 0]
Process4 executes internal event e1 at 19:40:58, vc: [0, 0, 0, 1]
Process1 receives m21 from process2 at 19:40:58, vc: [2, 1, 0, 0]
Process1 executes internal event e3 at 19:40:58, vc: [3, 1, 0, 0]
Process2 sends message m23 to process3 at 19:40:58, vc: [0, 2, 0, 0]
Process3 executes internal event e2 at 19:40:58, vc: [0, 0, 2, 0]
Process4 sends message m41 to process1 at 19:40:58, vc: [0, 0, 0, 2]
Process3 receives m23 from process2 at 19:40:58, vc: [0, 2, 3, 0]
Process1 receives m41 from process4 at 19:40:58, vc: [4, 1, 0, 2]
Process1 executes internal event e5 at 19:40:59, vc: [5, 1, 0, 2]
Process2 executes internal event e3 at 19:40:59, vc: [0, 3, 0, 0]
Process3 sends message m34 to process4 at 19:40:59, vc: [0, 2, 4, 0]
Process4 executes internal event e3 at 19:40:59, vc: [0, 0, 0, 3]
Process4 receives m34 from process3 at 19:40:59, vc: [0, 2, 4, 4]
Process1 executes internal event e6 at 19:41:0, vc: [6, 1, 0, 2]
Process2 sends message m21 to process1 at 19:41:0, vc: [0, 4, 0, 0]
Process3 executes internal event e5 at 19:41:0, vc: [0, 2, 5, 0]
Process4 executes internal event e5 at 19:41:0, vc: [0, 2, 4, 5]
Process1 receives m21 from process2 at 19:41:0, vc: [7, 4, 0, 2]
Process1 executes internal event e8 at 19:41:1, vc: [8, 4, 0, 2]
Process2 sends message m23 to process3 at 19:41:1, vc: [0, 5, 0, 0]
Process3 executes internal event e6 at 19:41:1, vc: [0, 2, 6, 0]
Process4 executes internal event e6 at 19:41:1, vc: [0, 2, 4, 6]
Process3 receives m23 from process2 at 19:41:1, vc: [0, 5, 7, 0]
Process1 sends message m14 to process4 at 19:41:2, vc: [9, 4, 0, 2]
Process2 executes internal event e6 at 19:41:2, vc: [0, 6, 0, 0]
Process3 sends message m34 to process4 at 19:41:2, vc: [0, 5, 8, 0]
Process4 sends message m43 to process3 at 19:41:2, vc: [0, 2, 4, 7]
Process3 receives m43 from process4 at 19:41:2, vc: [0, 5, 9, 7]
Process4 receives m34 from process3 at 19:41:2, vc: [0, 5, 8, 8]
Process4 receives m14 from process1 at 19:41:2, vc: [9, 5, 8, 9]
Process1 executes internal event e10 at 19:41:2, vc: [10, 4, 0, 2]
Process2 executes internal event e7 at 19:41:2, vc: [0, 7, 0, 0]
Process3 executes internal event e10 at 19:41:2, vc: [0, 5, 10, 7]
Process4 executes internal event e10 at 19:41:2, vc: [9, 5, 8, 10]
